A.;Jag;Je t'aime Juliette;unknown;unknown;unknown;Je t'aime Juliette - A. Jag;OXC7Fd0ZN8o;A Jag Je t'aime Juliette OXC7FdZN8o;6955346875
Beischer-Matyo;Tamas;5 Really Easy Pieces;unknown;unknown;unknown;Tamas Beischer-Matyo: Suite for Piano;y_Ju_fRyE-A;;0
Bellak;James;Clara Polka;unknown;unknown;unknown;James Bellak - Rough and Ready (Polka);FxZf7JyLozs;Bellak James Clara Polka FxZf7JyLozs;8463746875
Bellak;James;Coaxing Polka;unknown;unknown;unknown;James Bellak - Coaxing - (Polka);q-Y8eL1LLxA;Bellak James Coaxing Polka q-Y8eL1LLxA;5842946875
Bellak;James;Continental Guards Polka Op.86;unknown;unknown;unknown;James Bellak - Rough and Ready (Polka);FxZf7JyLozs;;0
Bellak;James;Donation Polka;unknown;unknown;unknown;James Bellak - Coaxing - (Polka);q-Y8eL1LLxA;Bellak James Donation Polka q-Y8eL1LLxA;5842946875
Bellak;James;Jakey Polka;unknown;unknown;unknown;James Bellak - Coaxing - (Polka);q-Y8eL1LLxA;Bellak James Jakey Polka q-Y8eL1LLxA;5842946875
Bellak;James;The Ledger Polka;unknown;unknown;unknown;James Bellak - Coaxing - (Polka);q-Y8eL1LLxA;;0
Bellak;James;Musket Galop Op.176;unknown;unknown;unknown;James Bellak Musket (Galop) Op.176;sDFJOgIfsbA;Bellak James Musket Galop Op176 sDFJOgIfsbA;7610546875
Bellak;James;Our Boy's Polka;unknown;unknown;unknown;James Bellak - Coaxing - (Polka);q-Y8eL1LLxA;;0
Bellak;James;Polka di bravoura;unknown;unknown;unknown;James Bellak - Rough and Ready (Polka);FxZf7JyLozs;;0
Bellak;James;Rough and Ready Polka;unknown;unknown;unknown;James Bellak - Rough and Ready (Polka);FxZf7JyLozs;Bellak James Rough and Ready Polka FxZf7JyLozs;8463746875
Bellak;James;Wizard's Polka;unknown;unknown;unknown;James Bellak - Coaxing - (Polka);q-Y8eL1LLxA;;0
Bellando;Domenico;Favoletta;unknown;unknown;unknown;Domenico Bellando :Favoletta;YbMfZ12kkTw;Bellando Domenico Favoletta YbMfZ12kkTw;26730146875
Bellenot;Philippe;Impromptu;unknown;unknown;unknown;Philippe Bellenot: Impromptu;tbhUregOwFo;Bellenot Philippe Impromptu tbhUregOwFo;16329746875
Bellenot;Philippe;2 Melodies;unknown;unknown;unknown;Philippe Bellenot: Impromptu;tbhUregOwFo;;0
Bellenot;Philippe;Musique;unknown;unknown;unknown;Philippe Bellenot: Impromptu;tbhUregOwFo;;0
Bellenot;Philippe;Serenade;unknown;unknown;unknown;Philippe Bellenot: Serenade;nr-4CH7yhxQ;Bellenot Philippe Serenade nr-4CH7yhxQ;22212146875
Bendel;Franz;3 Albumblatter Op.36;Czech;1833;1874;Franz Bendel : Une Valse #3 from 'Feuillets d'Album' Op. 37;DQDNynVwbGw;;0
Bendel;Franz;2 Barcarolen Op.5;Czech;1833;1874;Franz Bendel 2 Barcarolen Op. 5;dyv8umYII3c;Bendel Franz 2 Barcarolen Op5 dyv8umYII3c;70315346875
Bendel;Franz;Berg-Idylle Op.133;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;3 Charakteristische Stucke Op.136;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;3 Charakterstucke Op.87;Czech;1833;1874;Franz Bendel 3 Charakterstucke Op. 87;SasDlE6cGPo;Bendel Franz 3 Charakterstucke Op87 SasDlE6cGPo;60264146875
Bendel;Franz;La Clochette Op.30;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;Dornroschen;Czech;1833;1874;Franz Bendel: Improvisation on Walther's Preislied (Wagner);u11_Pvzd5Nk;;0
Bendel;Franz;Erinnerungsblatter Op.110;Czech;1833;1874;Franz Bendel: Abschied von der Geliebte Op. 110;4rmNYLb37A0;Bendel Franz Erinnerungsblatter Op11 4rmNYLb37A;34423346875
Bendel;Franz;Furs Album Op.37;Czech;1833;1874;Franz Bendel : Une Valse #3 from 'Feuillets d'Album' Op. 37;DQDNynVwbGw;Bendel Franz Furs Album Op37 DQDNynVwbGw;15976946875
Bendel;Franz;Homesickness;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;Improvisation on Walther's Preislied;Czech;1833;1874;Franz Bendel: Improvisation on Walther's Preislied (Wagner);u11_Pvzd5Nk;Bendel Franz Improvisation on Walther's Preislied u11_Pvzd5Nk;46274546875
Bendel;Franz;8 Improvisationen;Czech;1833;1874;Franz Bendel: Improvisation on Walther's Preislied (Wagner);u11_Pvzd5Nk;;0
Bendel;Franz;Kriegsbilder Op.109;Czech;1833;1874;Franz Bendel: Abschied von der Geliebte Op. 110;4rmNYLb37A0;;0
Bendel;Franz;3 Mazurkas brillantes Op.57;Czech;1833;1874;Yulianna Avdeeva - Chopin - 3 Mazurkas Op. 59;eh5c5PfNKgg;;0
Bendel;Franz;2 Moments musicaux Op.102;Czech;1833;1874;Franz Bendel : Nocturne a la Chopin  Op. 102 No. 2;pVfH2O0XV7g;Bendel Franz 2 Moments musicaux Op12 pVfH2OXV7g;18007346875
Bendel;Franz;3 Morceaux Op.121;Czech;1833;1874;Franz Bendel: Abschied von der Geliebte Op. 110;4rmNYLb37A0;;0
Bendel;Franz;Nizza Op.13;Czech;1833;1874;Franz Bendel: Nizza (Nice) Op. 13;uRdjoxsOlbg;Bendel Franz Nizza Op13 uRdjoxsOlbg;24868946875
Bendel;Franz;Nocturne in D-flat major;Czech;1833;1874;Franz Bendel : Nocturne in D flat major;wO7o__V3KHM;Bendel Franz Nocturne in D-flat major wO7o__V3KHM;12283346875
Bendel;Franz;12 Piano Pieces;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;Piano Pieces Op.39;Czech;1833;1874;Franz Bendel : Nocturne in D flat major;wO7o__V3KHM;;0
Bendel;Franz;2 Piano Pieces Op.122;Czech;1833;1874;Franz Bendel : Nocturne a la Chopin  Op. 102 No. 2;pVfH2O0XV7g;;0
Bendel;Franz;2 Piano Pieces Op.125;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;2 Pieces Op.105;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;2 Pieces Op.107;Czech;1833;1874;Franz Bendel : Une Valse #3 from 'Feuillets d'Album' Op. 37;DQDNynVwbGw;;0
Bendel;Franz;4 Poesien Op.15;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;Poetische Stunden am Klavier Op.73;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;Sakontala Op.117;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;Souvenir d'Hongrie;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;;0
Bendel;Franz;Souvenir d'Innsbruck Op.90;Czech;1833;1874;Franz Bendel : Souvenir d'Innsbrouck - Tyrolienne de Salon Op. 90;MG5EGdJHcbk;Bendel Franz Souvenir d'Innsbruck Op9 MG5EGdJHcbk;25016546875
Bendel;Franz;Souvenir de Tyrol Op.49;Czech;1833;1874;Franz Bendel: Souvenir de Ischl Op. 105 No. 1;SZ9N6jnMNYs;Bendel Franz Souvenir de Tyrol Op49 SZ9N6jnMNYs;24271346875
Bendel;Franz;Weihnachtsidylle Op.11;Czech;1833;1874;Franz Bendel Weihnachtsidylle(A Christmas Idyl) Op. 11;tvkQOb3YXI8;Bendel Franz Weihnachtsidylle Op11 tvkQOb3YXI8;38314946875
Bendel;Franz;Wie beruhrt mich wundersam;Czech;1833;1874;Gustav Lange: Wie beruhrt mich wundersam (after Bendel) Op. 171 No. 48;WgO6AMaqM7s;Bendel Franz Wie beruhrt mich wundersam WgO6AMaqM7s;29707346875
Bendix;Victor;Album Op.22;Danish;1851;1926;Victor Bendix : Romance  Op. 22 No. 4;b5V2c5gvemk;Bendix Victor Album Op22 b5V2c5gvemk;14212946875
Bendix;Victor;Andante for Oboe Cello and Piano;Danish;1851;1926;Victor Bendix: 4 Stimmungsbilder Op. 9: 1 - Andante tranquillo;3z1Tf58wEL0;;0
Bendix;Victor;In kleinerem Style Op.2;Danish;1851;1926;Victor Bendix: 4 Stimmungsbilder Op. 9: 1 - Andante tranquillo;3z1Tf58wEL0;;0
Bendix;Victor;Intermezzo;Danish;1851;1926;Victor Bendix : Intermezzo in E major;ChFXaDePlHQ;Bendix Victor Intermezzo ChFXaDePlHQ;33242546875
Bendix;Victor;Langsom Vals;Danish;1851;1926;Victor Bendix : Vals Op. 22 No. 3;VLcRSwbQ_pg;Bendix Victor Langsom Vals VLcRSwbQ_pg;22356146875
Bendix;Victor;4 Stimmungsbilder Op.9;Danish;1851;1926;Victor Bendix: 4 Stimmungsbilder Op. 9: 1 - Andante tranquillo;3z1Tf58wEL0;Bendix Victor 4 Stimmungsbilder Op9 3z1Tf58wEL;13806146875
Beneking;Stephan;Dance on Icy Waters;unknown;unknown;unknown;Stephan Beneking - Dancing on Icy Waters;Vac-QQ8b55I;Beneking Stephan Dance on Icy Waters Vac-QQ8b55I;16470146875
Beneking;Stephan;Zita in Wonderland;unknown;unknown;unknown;Zita in Wonderland' by Stephan Beneking performed by Hal Freedman;gODJGEylhCI;Beneking Stephan Zita in Wonderland gODJGEylhCI;54403346875
Benjamin;Arthur;Before Dawn;Australian;1893;1960;"""Arthur Benjamin: Dance at Dawn (from """"Three New Fantasies"""")""";W2Gq6NpX3dc;Benjamin Arthur Before Dawn W2Gq6NpX3dc;11109746875
Benjamin;Arthur;Forest Peace;Australian;1893;1960;Arthur Benjamin: Forest Peace;lQAut6zwn5k;Benjamin Arthur Forest Peace lQAut6zwn5k;13032146875
Benjamin;Arthur;Jamaican Rumba;Australian;1893;1960;Jamaican Rumba - Arthur Benjamin;EAHSJQeXliY;Benjamin Arthur Jamaican Rumba EAHSJQeXliY;14752946875
Benjamin;Arthur;Scherzino;Australian;1893;1960;Arthur Benjamin - Scherzino for Piano (1936) [Score-Video];u_IvVrqK_PM;Benjamin Arthur Scherzino u_IvVrqK_PM;14295746875
Bennett;William Sterndale;3 Diversions Op.17;British;1816;1875;William Sterndale Bennett (1816-1875). Three diversions op. 17 for piano 4 hands;vbeevB49sxo;Bennett William Sterndale 3 Diversions Op17 vbeevB49sxo;59533346875
Bennett;William Sterndale;2 Etudes Op.29;British;1816;1875;William Sterndale Bennett - Etude 'L'Appassionata' Op. 29/2;bIS9xOqxth4;Bennett William Sterndale 2 Etudes Op29 bIS9xOqxth4;15760946875
Bennett;William Sterndale;3 Impromptus Op.12;British;1816;1875;William Sterndale Bennett: 3 Impromptus Op. 12 No. 1 - Andante espressivo;5v3HUkZeHvk;Bennett William Sterndale 3 Impromptus Op12 5v3HUkZeHvk;23868146875
Bennett;William Sterndale;Tema e Variazioni Op.31;British;1816;1875;William Sterndale Bennett (1816-1875). Three diversions op. 17 for piano 4 hands;vbeevB49sxo;;0
Bentivoglio;Giulio;Ave verum;unknown;unknown;unknown;Ave Verum - Giulio Bentivoglio for Trombone Trio;P0fMuk0azj4;Bentivoglio Giulio Ave verum PfMukazj4;11530946875
Bentivoglio;Giulio;Desiderium;unknown;unknown;unknown;Ave Verum - Giulio Bentivoglio for Trombone Trio;P0fMuk0azj4;;0
Bentivoglio;Giulio;In virtute;unknown;unknown;unknown;Ave Verum - Giulio Bentivoglio for Trombone Trio;P0fMuk0azj4;;0
Bentivoglio;Giulio;Posuisti;unknown;unknown;unknown;Ave Verum - Giulio Bentivoglio for Trombone Trio;P0fMuk0azj4;;0
Berens;Hermann;Idylle Op.34;German;1826;1880;Hermann Berens Op 70 34;uZpATphI-gw;Berens Hermann Idylle Op34 uZpATphI-gw;5824946875
Berens;Hermann;50 Piano Pieces for First Beginners Op.70;German;1826;1880;50 Piano Pieces for First Beginners Op.70 Book? (Berens Hermann) #1;8I3SZtZHn2s;Berens Hermann 5 Piano Pieces for First Beginners Op7 8I3SZtZHn2s;1609346875
Berens;Hermann;Vorstudien Op.66;German;1826;1880;Hermann Berens - etuud G-duur op.66;lhvC94PcQzw;Berens Hermann Vorstudien Op66 lhvC94PcQzw;7952546875
Berg;Alban;Klavierstuck in C minor;Austrian;1885;1935;Alban Berg - Klavierstuck in C-Sharp Minor for Piano (1907-08) [Score-Video];urdBmr1TFyw;Berg Alban Klavierstuck in C minor urdBmr1TFyw;16830146875
Berg;Alban;Klavierstuck in C-sharp minor;Austrian;1885;1935;Alban Berg - Klavierstuck in C-Sharp Minor for Piano (1907-08) [Score-Video];urdBmr1TFyw;Berg Alban Klavierstuck in C-sharp minor urdBmr1TFyw;16830146875
Berg;Alban;Piano Sonata Op.1;Austrian;1885;1935;Alban Berg - Piano Sonata Op. 1;aqE5By_69OY;Berg Alban Piano Sonata Op1 aqE5By_69OY;57837746875
Berge;Sigurd;Horntrio;unknown;unknown;unknown;Berge: Horntrio sats 1;GdkSgKUPUGk;Berge Sigurd Horntrio GdkSgKUPUGk;7920146875
Berger;Ludwig;12 Etudes Op.12;German;1777;1839;Ludwig Berger: Etuden fur pianoforte Op. 12 No. 10 - Allegretto;cST2xY1M7wo;Berger Ludwig 12 Etudes Op12 cST2xY1M7wo;15098546875
Berger;Ludwig;Piano Sonata Op.18;German;1777;1839;Ludwig Berger: Etuden fur pianoforte Op. 12 No. 10 - Allegretto;cST2xY1M7wo;;0
Berger;Rodolphe;Amoureuse;unknown;unknown;unknown;Amoureuse von Rodolphe Berger;5giRhZGIovQ;Berger Rodolphe Amoureuse 5giRhZGIovQ;23061746875
Berger;Rodolphe;Apres l'ondee;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Apres l'ondee (After The Rain);bRyBprCKG1I;Berger Rodolphe Apres l'ondee bRyBprCKG1I;28638146875
Berger;Rodolphe;Au petit bonheur;unknown;unknown;unknown;Amoureuse von Rodolphe Berger;5giRhZGIovQ;;0
Berger;Rodolphe;Cambrioleur d'amour;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Fleur d'amour (Flower Of Love);OikM_aSkejo;Berger Rodolphe Cambrioleur d'amour OikM_aSkejo;30186146875
Berger;Rodolphe;Dans le silence de la nuit;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Dans le silence de la nuit (valse serenade);rIz-nEKKn8M;Berger Rodolphe Dans le silence de la nuit rIz-nEKKn8M;22302146875
Berger;Rodolphe;Dans les fleurs;unknown;unknown;unknown;Belle Epoch:Berger Rodolphe - Dans Les Fleurs (valse lente)(In The Flowers);buPdGkbicUY;Berger Rodolphe Dans les fleurs buPdGkbicUY;16214546875
Berger;Rodolphe;En fermant les yeux;unknown;unknown;unknown;Belle Epoch:Berger Rodolphe - En fermant les yeux (Close Your Eyes);1NBI70s1004;Berger Rodolphe En fermant les yeux 1NBI7s14;29800946875
Berger;Rodolphe;Eternel printemps;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Apres l'ondee (After The Rain);bRyBprCKG1I;;0
Berger;Rodolphe;Fleur d'amour;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Fleur d'amour (Flower Of Love);OikM_aSkejo;Berger Rodolphe Fleur d'amour OikM_aSkejo;30186146875
Berger;Rodolphe;Glissez mortels;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe  - Glissez Mortels (Slide Deadly);MeWjBnQBeUI;Berger Rodolphe Glissez mortels MeWjBnQBeUI;26852546875
Berger;Rodolphe;Joyeuse escorte;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Dans le silence de la nuit (valse serenade);rIz-nEKKn8M;;0
Berger;Rodolphe;Loin du pays;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe  - Loin Du Pays (Far From The Country);aEXj5HedSG4;Berger Rodolphe Loin du pays aEXj5HedSG4;13622546875
Berger;Rodolphe;Ne mentons pas aux femmes;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Apres l'ondee (After The Rain);bRyBprCKG1I;;0
Berger;Rodolphe;Parfums dhiver;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Apres l'ondee (After The Rain);bRyBprCKG1I;;0
Berger;Rodolphe;Perdition;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe  - Glissez Mortels (Slide Deadly);MeWjBnQBeUI;;0
Berger;Rodolphe;Reponse a 'Amoureuse';unknown;unknown;unknown;Amoureuse von Rodolphe Berger;5giRhZGIovQ;;0
Berger;Rodolphe;Reve aux etoiles;unknown;unknown;unknown;Amoureuse von Rodolphe Berger;5giRhZGIovQ;;0
Berger;Rodolphe;Soiree au Prater;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe  - Glissez Mortels (Slide Deadly);MeWjBnQBeUI;;0
Berger;Rodolphe;Tout passe;unknown;unknown;unknown;Berger - Tout passe - FT#15 SP#4;KyDNPSay5lM;Berger Rodolphe Tout passe KyDNPSay5lM;21790946875
Berger;Rodolphe;Un peu d'amour;unknown;unknown;unknown;Belle Epoch: Berger Rodolphe - Fleur d'amour (Flower Of Love);OikM_aSkejo;;0
Bergson;Micha?;Chant du troubadour Op.41;Polish;1820;1898;Micha? Bergson: Chant du Troubadour (Romance) Op. 41;ZulvuMUYy3Y;Bergson Micha? Chant du troubadour Op41 ZulvuMUYy3Y;25963346875
Bergson;Micha?;Polonia;Polish;1820;1898;Micha? Bergson: Chant du Troubadour (Romance) Op. 41;ZulvuMUYy3Y;;0
Berge;Irenee;Andante pathetique;French;1867;1926;Irenee Berge: Andante Pathetique;rm-TBiAMu8w;Berge Irenee Andante pathetique rm-TBiAMu8w;11253746875
Berge;Irenee;Appassionato lirico;French;1867;1926;Irenee Berge: Andante Pathetique;rm-TBiAMu8w;;0
Berge;Irenee;Dramatic Reproach;French;1867;1926;Irenee Berge: Dramatic Andante (Characteristic);K6wRQYkpOvg;Berge Irenee Dramatic Reproach K6wRQYkpOvg;16041746875
Berge;Irenee;La machine a coudre;French;1867;1926;Irenee Berge: La Machine a Coudre (The sewing-machine);66cdvaYd3yc;Berge Irenee La machine a coudre 66cdvaYd3yc;18604946875
Berge;Irenee;La promenade de la merveilleuse;French;1867;1926;La promenade de la merveilleuse - Irenee Berge;EqRxkFloChE;Berge Irenee La promenade de la merveilleuse EqRxkFloChE;20401346875
Beringer;Joseph;2 Piano Pieces Op.5;unknown;unknown;unknown;Alexander Scriabin ? 2 Nocturnes Op.5;6fD1h4HXLZU;;0
Berkahn;Samuel James;Piano Sonata No.1;unknown;unknown;unknown;Samuil Feinberg - Piano Sonata No. 1 Op. 1 (1915);NtDZ2ppQ49Y;Berkahn Samuel James Piano Sonata No1 NtDZ2ppQ49Y;38502146875
Berkahn;Samuel James;Rag No.1;unknown;unknown;unknown;Pastime Rag No. 1 by Artie Matthews (1913 Ragtime piano);Ihq059U-weI;Berkahn Samuel James Rag No1 Ihq59U-weI;15123746875
Berlin;Irving;My Bird of Paradise;Russian;1888;1989;Irving Berlin: My Bird Of Paradise;SqSKZHtVlsY;Berlin Irving My Bird of Paradise SqSKZHtVlsY;17524946875
Bernard;Paul;Consolation Op.66;French;1827;1879;Paul Bernard : Souvenez-vous (Remember!) - Nocturne Op.  88;6CB69ZAPoPk;;0
Bernard;Paul;Souvenez-vous Op.88;French;1827;1879;Paul Bernard : Souvenez-vous (Remember!) - Nocturne Op.  88;6CB69ZAPoPk;Bernard Paul Souvenez-vous Op88 6CB69ZAPoPk;25426946875
Bernard;Emile;Fantaisie et fugue Op.24;French;1843;1902;Emile Bernard - Prelude et Fugue op. 14;VrBHxZo5guY;Bernard Emile Fantaisie et fugue Op24 VrBHxZo5guY;36982946875
Bernard;Emile;Prelude et Fugue Op.14;French;1843;1902;Emile Bernard - Prelude et Fugue op. 14;VrBHxZo5guY;Bernard Emile Prelude et Fugue Op14 VrBHxZo5guY;36982946875
Bernard;Emile;Preludio e Fugato;French;1843;1902;Emile Bernard - Prelude et Fugue op. 14;VrBHxZo5guY;;0
Bernheimer;Gastone;3 Mazurkas Op.34;unknown;unknown;unknown;Yulianna Avdeeva - Chopin - 3 Mazurkas Op. 59;eh5c5PfNKgg;;0
Bernheimer;Gastone;10 Preludes Op.35;unknown;unknown;unknown;Gaston Bernheimer - 10 Preludes Op?.?35?/?2;HGwrXftabA8;Bernheimer Gastone 1 Preludes Op35 HGwrXftabA8;21250946875
Bertholdt;Charles C.;El Trompetero;unknown;unknown;unknown;El Trompetero - Charles C. Bertholdt (1902);pxg0wt1ooWM;Bertholdt Charles C El Trompetero pxgwt1ooWM;15177746875
Bertini;Auguste;3 Piano Sonatas Op.1;unknown;unknown;unknown;Luchesi: Sonatas Op.1;rAn55p8lspM;;0
Bertini;Henri;Le double dieze Op.143;French;1798;1876;Henri Bertini: 50 Etudes Melodiques Op. 142: 46 - La Complainte;QyF_B7pHtMo;;0
Bertini;Henri;Episode d'un bal Op.98;French;1798;1876;Henri Bertini: 3 pieces from 50 Preludes Op. 141;jtyjGMip74g;;0
Bertini;Henri;25 Etudes faciles et progressives Op.100;French;1798;1876;Henri Bertini 25 Etudes faciles et progressives Op. 100 Nos. 1-6;AyTup5aYZuE;Bertini Henri 25 Etudes faciles et progressives Op1 AyTup5aYZuE;60264146875
Bertini;Henri;50 Etudes melodiques Op.142;French;1798;1876;Henri Bertini: 50 Etudes Melodiques Op. 142: 46 - La Complainte;QyF_B7pHtMo;Bertini Henri 5 Etudes melodiques Op142 QyF_B7pHtMo;16488146875
Bertini;Henri;25 Etudes primaires Op.166;French;1798;1876;Henri Bertini (1798 - 1876) Op.166 No. 6 Chord Study ~ from 25 Etudes Primaires;ZcvJNKFkC4o;Bertini Henri 25 Etudes primaires Op166 ZcvJNKFkC4o;3848546875
Bertini;Henri;25 Etudes Op.66;French;1798;1876;?MIDI? Henri Bertini: 25 etudes caracteristiques Op.66 - No.2;jP0PuWQrKrI;Bertini Henri 25 Etudes Op66 jPPuWQrKrI;14965346875
Bertini;Henri;Grand Rondo de Concert Op.105;French;1798;1876;Bertini - Grand Rondo de Concert Op.105;4Qjpy6HrXdQ;Bertini Henri Grand Rondo de Concert Op15 4Qjpy6HrXdQ;67586546875
Bertini;Henri;Grande Fantaisie dramatique Op.118;French;1798;1876;Bertini - Grande Fantaisie Dramatique Op.118;WusYQ76m4MY;Bertini Henri Grande Fantaisie dramatique Op118 WusYQ76m4MY;93610946875
Bertini;Henri;Grande Fantaisie sur un Theme de Pacini Op.113;French;1798;1876;Bertini - Grande Fantaisie sur un Theme de Pacini Op.113;mguKOZeCiJA;Bertini Henri Grande Fantaisie sur un Theme de Pacini Op113 mguKOZeCiJA;86749346875
Bertini;Henri;Grande Polonaise Op.93;French;1798;1876;Bertini - Grande Polonaise Op.93;Zdjjxd73qUs;Bertini Henri Grande Polonaise Op93 Zdjjxd73qUs;80690546875
Bertini;Henri;12 Little Pieces and Preludes;French;1798;1876;Henri Bertini: 3 pieces from 50 Preludes Op. 141;jtyjGMip74g;;0
Bertini;Henri;Ma Normandie Op.88;French;1798;1876;Bertini - Ma Normandie Op.88;t6A5w-msFJY;Bertini Henri Ma Normandie Op88 t6A5w-msFJY;44906546875
Bertini;Henri;50 Preludes Op.141;French;1798;1876;Henri Bertini: 3 pieces from 50 Preludes Op. 141;jtyjGMip74g;Bertini Henri 5 Preludes Op141 jtyjGMip74g;21690146875
Bertini;Henri;Solo de concours No.2 Op.121;French;1798;1876;Bertini - Solo de concours No.2 Op.121;OZc5WSJrNyM;Bertini Henri Solo de concours No2 Op121 OZc5WSJrNyM;59688146875
Bertini;Henri;Solo pour le Piano Op.109;French;1798;1876;Bertini - Solo pour le Piano Op.109;KGguvLecmDk;Bertini Henri Solo pour le Piano Op19 KGguvLecmDk;56116946875
Bertini;Henri;Themes varies Op.64;French;1798;1876;Henri Bertini 25 Etudes faciles et progressives Op. 100 Nos. 1-6;AyTup5aYZuE;;0
Bertini;Henri;Variations de Concert Op.69;French;1798;1876;Bertini - Variations de Concert Op.69;nK_iMVu0Vew;Bertini Henri Variations de Concert Op69 nK_iMVuVew;65512946875
Bertini;Henri;Variations sur le Choeur favori Op.106;French;1798;1876;Bertini - Variations sur le Choeur favori Op.106;G7YIKHbGPOA;Bertini Henri Variations sur le Choeur favori Op16 G7YIKHbGPOA;49086146875
Bertini;Henri;Violin Sonata No.3 Op.156;French;1798;1876;Bertini Op.29 No.3 Bach two invention No.13 Mozart Sonata No.16 and Hisaishi Changing Seasons;BaGo2mNF_CA;Bertini Henri Violin Sonata No3 Op156 BaGo2mNF_CA;56131346875
Berwald;Franz;3 Fantaisies pour la Melodique;Swedish;1796;1868;Franz Berwald - Rondeau-bagatelle (audio + sheet music);kKUNDiXDodA;;0
Berwald;Franz;Fantasia on 2 Swedish Folk Melodies;Swedish;1796;1868;Franz Berwald: Fantasy on 2 Swedish folk-melodies / Bengt-Ake Lundin piano;3_TsluZTmxg;Berwald Franz Fantasia on 2 Swedish Folk Melodies 3_TsluZTmxg;44899346875
Berwald;Franz;Polonaise-Bagatelle;Swedish;1796;1868;Franz Berwald - Rondeau-bagatelle (audio + sheet music);kKUNDiXDodA;Berwald Franz Polonaise-Bagatelle kKUNDiXDodA;21704546875
Berwald;Franz;Romance et Scherzo;Swedish;1796;1868;Berwald: Romance et Scherzo;yQbg4YJbnnI;Berwald Franz Romance et Scherzo yQbg4YJbnnI;62920946875
Berwald;Franz;Rondeau-Bagatelle;Swedish;1796;1868;Franz Berwald - Rondeau-bagatelle (audio + sheet music);kKUNDiXDodA;Berwald Franz Rondeau-Bagatelle kKUNDiXDodA;21704546875
Berwald;Franz;Scherzo;Swedish;1796;1868;Berwald: Romance et Scherzo;yQbg4YJbnnI;Berwald Franz Scherzo yQbg4YJbnnI;62920946875
Berwald;Franz;Waltz;Swedish;1796;1868;Franz Berwald: Fantasy on 2 Swedish folk-melodies / Bengt-Ake Lundin piano;3_TsluZTmxg;;0
Besly;Maurice;Studies in Tone Colour Op.28;British;1888;1945;Maurice Besly: 3 pieces from 'Studies in Tone-Colour' Op 28;2KRAT0_Mqqg;Besly Maurice Studies in Tone Colour Op28 2KRAT_Mqqg;35208146875
Besozzi;Louis-Desire;12 Etudes caracteristiques Op.19;French;1814;1879;?MIDI? Louis-Desire Besozzi: 12 Etudes caracteristiques Op.19 - No.3 La jalousie;ckTIKuRDDCo;Besozzi Louis-Desire 12 Etudes caracteristiques Op19 ckTIKuRDDCo;14914946875
Besset;Julian Raoul;Abandoned Songs;unknown;unknown;unknown;The Swan's Skirl by Julian Raoul Besset (*1939);wqJuSYqSG38;;0
Besset;Julian Raoul;Afterthoughts;unknown;unknown;unknown;The Swan's Skirl by Julian Raoul Besset (*1939);wqJuSYqSG38;;0
Besset;Julian Raoul;An Elegy;unknown;unknown;unknown;The Swan's Skirl by Julian Raoul Besset (*1939);wqJuSYqSG38;;0
Besset;Julian Raoul;Another Rhapsody;unknown;unknown;unknown;The Swan's Skirl by Julian Raoul Besset (*1939);wqJuSYqSG38;;0
Besset;Julian Raoul;A Bonfire of Songs;unknown;unknown;unknown;The Swan's Skirl by Julian Raoul Besset (*1939);wqJuSYqSG38;;0
Besset;Julian Raoul;Bumbling Ostinato;unknown;unknown;unknown;The Swan's Skirl by Julian Raoul Besset (*1939);wqJuSYqSG38;;0
